Age,CatsInHouse,HousingType,Zone,TimeOutside,TimeWithOwner,Shy,Calm,Skittish,Intelligent,Vigilant,Tenacious,Affectionate,Friendly,Loner,Ferocious,Territorial,Aggressive,Impulsive,Predictable,Inattentive,NaturalAreasAbundance,BirdsEater,MiceEater,Race
2-10 years,1,Apartment with balcony or terrace,Urban,2,1,3,4,3,4,4,4,2,4,1,3,4,3,3,4,3,1.2050453285065248,0,0,NoBreed
1-2 years,1,House in a subdivision,Rural,0,1,1,3,2,4,3,3,5,5,1,2,2,1,3,4,3,2.0,0,0,MaineCoon
2-10 years,2,House in a subdivision,Periurban,1,2,3,4,3,4,4,1,4,3,1,1,1,2,2,4,1,2.0,0,0,Siamese
2-10 years,5,Individual house zone,Periurban,1,2,1,4,1,5,4,5,5,3,2,1,1,1,1,2,4,2.406392308273522,0,0,BritishShorthair
2-10 years,1,Apartment with balcony or terrace,Urban,0,2,1,4,3,4,4,4,4,4,1,1,2,3,3,4,3,1.932589909425253,0,0,Ragdoll
2-10 years,3,House in a subdivision,Rural,0,3,2,2,2,1,1,1,1,2,2,2,3,2,2,2,1,2.0,0,0,NoBreed
Less than 1 year,1,House in a subdivision,Periurban,0,2,3,3,2,3,3,2,3,3,3,2,2,2,2,3,2,3.0,0,0,European
1-2 years,2,Apartment without balcony,Urban,0,2,1,4,1,4,4,3,4,4,1,1,1,1,1,1,1,1.0,0,0,Sphynx
2-10 years,4,Apartment with balcony or terrace,Urban,1,3,5,5,3,4,4,2,3,2,5,1,1,1,1,2,1,1.0,0,0,European
Less than 1 year,5,Apartment with balcony or terrace,Periurban,0,3,1,4,1,4,3,4,4,4,1,4,3,1,1,1,3,1.0,0,0,European
Less than 1 year,3,Individual house zone,Rural,1,3,1,5,1,4,4,3,5,5,1,1,1,1,1,3,1,2.0,0,0,Birman
1-2 years,1,Apartment with balcony or terrace,Urban,0,2,1,4,2,3,1,2,5,5,1,1,1,1,1,4,2,2.0,0,0,Birman
2-10 years,2,Individual house zone,Rural,1,2,1,2,1,5,4,4,4,3,2,1,4,2,3,3,1,3.0,0,0,Bengal
2-10 years,3,House in a subdivision,Rural,1,1,1,2,3,2,2,2,2,2,2,4,1,2,3,2,2,3.0,0,0,TurkishAngora
Less than 1 year,1,Individual house zone,Periurban,1,3,5,2,5,4,4,4,5,1,1,1,1,1,3,5,4,3.0,0,0,Persian
2-10 years,1,Apartment with balcony or terrace,Urban,0,1,1,2,5,4,4,4,4,4,1,3,3,2,4,3,3,1.9786312874005305,0,0,Ragdoll
1-2 years,4,House in a subdivision,Rural,0,3,4,4,4,5,5,4,5,4,2,1,3,2,2,2,1,3.0,0,0,Savannah
1-2 years,1,Apartment without balcony,Periurban,0,3,1,3,2,5,5,5,5,5,1,1,2,2,2,4,4,2.785059621409243,0,0,Sphynx
Less than 1 year,3,Individual house zone,Urban,0,3,1,4,3,5,4,5,5,4,2,1,1,2,1,5,3,2.0,0,0,European
2-10 years,1,House in a subdivision,Periurban,0,2,3,1,2,4,4,4,4,4,1,1,2,2,2,2,4,3.0,0,0,Savannah
1-2 years,1,Apartment with balcony or terrace,Urban,0,2,1,2,2,4,4,4,4,4,4,1,1,1,1,1,3,1.0,1,0,Sphynx
1-2 years,1,Apartment with balcony or terrace,Rural,0,2,1,2,1,4,3,5,3,3,2,3,4,1,5,3,4,1.1426399079075014,0,0,BritishShorthair
Less than 1 year,1,Apartment with balcony or terrace,Urban,1,2,1,2,3,4,4,4,4,4,1,3,3,3,4,2,4,1.0,0,0,Bengal
1-2 years,2,Apartment with balcony or terrace,Periurban,2,2,1,2,1,5,5,5,2,3,1,4,3,2,4,4,1,2.0823810456158425,0,0,Birman
2-10 years,1,Apartment with balcony or terrace,Periurban,0,2,3,4,3,3,4,4,5,2,4,1,4,3,2,4,4,1.0664962673667775,0,0,Persian
2-10 years,1,Apartment with balcony or terrace,Urban,0,2,5,4,3,5,5,4,4,3,2,1,1,2,1,3,2,1.0,0,0,Siamese
2-10 years,3,House in a subdivision,Rural,2,2,1,5,1,3,1,1,4,4,3,1,1,1,1,5,3,2.965134839766175,0,0,BritishShorthair
More than 10 years,2,Individual house zone,Rural,2,2,1,4,1,4,4,3,4,1,4,1,4,2,3,4,1,3.0,1,1,Persian
2-10 years,2,House in a subdivision,Rural,0,2,1,3,2,4,4,3,4,4,1,1,3,2,2,4,2,1.2346437189337593,0,0,Ragdoll
1-2 years,2,Apartment without balcony,Rural,0,2,4,4,1,1,1,1,1,4,1,2,1,1,4,4,3,2.0,0,0,Birman
Less than 1 year,1,Individual house zone,Periurban,0,2,3,4,2,3,4,4,3,2,4,1,1,3,2,3,4,3.0,0,0,Persian
2-10 years,2,Individual house zone,Rural,0,2,3,2,2,4,4,4,4,1,3,2,3,3,3,3,2,2.1486627277531127,0,0,Persian
More than 10 years,1,Apartment with balcony or terrace,Urban,0,3,3,3,3,3,3,1,2,1,3,1,3,3,3,1,3,1.0,0,0,Persian
2-10 years,1,Apartment with balcony or terrace,Rural,2,2,3,3,3,4,4,4,4,4,2,1,2,3,2,4,2,1.0073284483865514,1,0,Savannah
1-2 years,2,House in a subdivision,Periurban,0,2,1,3,1,5,2,4,4,4,1,1,1,1,3,5,4,2.113238045840755,0,0,Sphynx
Less than 1 year,1,House in a subdivision,Rural,0,2,1,2,1,3,2,1,2,4,1,1,2,1,1,5,2,3.0,0,0,Sphynx
2-10 years,2,House in a subdivision,Periurban,1,2,4,4,1,3,4,5,5,3,4,2,5,2,3,4,4,2.0,0,0,European
2-10 years,1,House in a subdivision,Rural,1,2,3,4,3,4,3,4,4,4,1,1,1,1,1,4,4,2.4034828662123973,0,0,Birman
2-10 years,2,House in a subdivision,Periurban,1,2,3,4,3,4,4,1,4,3,1,1,1,2,2,4,1,2.0,0,0,Siamese
2-10 years,1,Apartment with balcony or terrace,Urban,1,2,3,2,3,5,4,5,5,4,1,1,2,3,3,4,2,1.0175159908620621,0,0,Savannah
1-2 years,2,House in a subdivision,Rural,0,2,1,1,1,4,4,3,4,4,1,1,1,1,1,1,1,1.8707534503372591,0,0,Sphynx
2-10 years,1,Apartment without balcony,Urban,0,2,4,4,3,4,4,4,4,2,2,1,1,2,2,3,2,1.5947519119723113,0,0,TurkishAngora
1-2 years,2,Apartment without balcony,Rural,0,2,1,2,1,4,4,4,3,4,3,1,2,1,1,2,1,2.0,0,0,Bengal
1-2 years,5,House in a subdivision,Periurban,2,2,1,4,1,4,4,4,5,5,1,1,2,1,1,4,3,2.511677442115666,0,0,MaineCoon
1-2 years,2,House in a subdivision,Periurban,0,1,2,4,2,2,4,3,4,4,1,1,1,1,2,4,4,2.0,0,0,MaineCoon
1-2 years,2,House in a subdivision,Periurban,1,2,1,3,3,5,5,5,5,4,1,1,1,1,1,4,3,1.3467471905895096,0,0,Persian
Less than 1 year,2,Individual house zone,Rural,0,2,1,1,3,4,1,4,5,5,2,3,3,3,3,5,5,3.0,4,2,European
1-2 years,2,Individual house zone,Rural,0,1,3,1,1,1,1,1,1,2,3,2,2,2,2,1,1,3.0,0,0,BritishShorthair
2-10 years,2,Individual house zone,Rural,0,2,4,4,3,3,4,1,4,4,2,1,1,2,1,4,2,2.6584518346584254,0,0,MaineCoon
2-10 years,1,House in a subdivision,Periurban,0,2,1,4,1,4,4,3,4,4,2,3,2,1,2,3,2,2.759344327922866,0,0,Chartreux
2-10 years,5,Individual house zone,Urban,0,3,3,1,1,4,5,5,5,4,2,3,3,4,4,2,5,3.0,0,0,European
Less than 1 year,1,Apartment with balcony or terrace,Urban,0,2,4,4,4,3,4,3,4,2,3,3,2,1,3,3,3,2.0,1,2,Siamese
1-2 years,2,House in a subdivision,Rural,0,2,1,4,1,5,4,5,5,5,1,1,1,1,1,4,3,2.8406959793810196,0,0,TurkishAngora
2-10 years,2,Apartment without balcony,Rural,2,2,1,3,1,4,2,4,4,4,1,2,2,1,3,4,4,2.0,0,0,Bengal
2-10 years,3,Apartment without balcony,Rural,0,2,1,4,1,3,3,3,5,4,2,3,3,3,3,2,3,1.5694435177635002,0,0,BritishShorthair
2-10 years,2,Individual house zone,Rural,3,2,2,2,1,4,4,2,4,4,2,2,4,2,4,1,4,3.0,0,4,NoBreed
1-2 years,2,Apartment with balcony or terrace,Urban,0,2,4,5,4,4,5,4,5,5,1,1,1,1,1,4,4,2.0,0,0,Ragdoll
1-2 years,1,Apartment without balcony,Urban,1,2,1,3,1,5,4,3,4,4,2,1,1,1,1,3,1,1.637231579789487,0,0,Siamese
More than 10 years,5,Individual house zone,Periurban,2,1,4,3,2,4,4,4,4,4,4,2,4,2,2,2,2,2.0,1,1,NoBreed
Less than 1 year,1,Apartment with balcony or terrace,Urban,0,2,2,4,4,4,4,4,4,4,1,1,2,2,2,4,2,1.8507622220498239,0,0,TurkishAngora
2-10 years,1,Individual house zone,Rural,0,2,1,1,1,4,4,4,4,4,1,3,4,3,4,3,3,2.6262203216314153,0,0,Sphynx
Less than 1 year,2,House in a subdivision,Rural,0,2,1,1,1,5,4,4,5,4,1,3,3,1,1,3,3,2.2931477302610133,0,0,Bengal
Less than 1 year,1,House in a subdivision,Rural,0,3,4,2,3,5,5,5,5,4,2,1,3,3,2,2,4,3.0,0,0,Savannah
1-2 years,1,Apartment with balcony or terrace,Periurban,1,1,1,5,2,5,4,5,4,3,3,1,3,1,2,3,2,1.0,0,1,MaineCoon
2-10 years,4,Individual house zone,Periurban,0,3,1,4,1,4,2,3,5,3,2,1,1,1,1,4,3,2.0,0,0,MaineCoon
2-10 years,5,House in a subdivision,Periurban,0,1,1,2,1,4,3,4,3,3,3,1,2,2,2,4,3,2.0,0,0,MaineCoon
1-2 years,3,Apartment without balcony,Urban,0,3,3,4,4,5,5,4,5,3,2,2,3,2,2,2,1,2.527108034366818,0,0,Savannah
2-10 years,2,Apartment with balcony or terrace,Rural,0,2,1,3,2,4,4,4,4,1,3,3,4,3,3,4,3,1.5268337989481078,0,0,NoBreed
1-2 years,4,Apartment with balcony or terrace,Periurban,0,3,1,3,1,5,4,5,5,4,1,1,1,1,1,3,1,2.203701249276274,0,0,BritishShorthair
1-2 years,1,Apartment with balcony or terrace,Periurban,1,1,1,5,2,5,4,5,4,3,3,1,3,1,2,3,2,1.0,0,0,MaineCoon
1-2 years,1,House in a subdivision,Periurban,0,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,2.0,0,0,MaineCoon
1-2 years,2,Apartment without balcony,Urban,0,3,3,4,1,2,5,5,3,1,5,3,4,2,4,5,5,2.0,0,0,NoBreed
2-10 years,1,Individual house zone,Rural,1,2,1,2,1,4,2,4,4,3,2,4,5,4,3,3,4,1.1495033651686684,0,0,Persian
More than 10 years,4,House in a subdivision,Urban,2,2,3,4,1,4,4,4,4,3,2,1,1,1,1,3,1,2.351540161134219,1,0,TurkishAngora
2-10 years,1,Apartment with balcony or terrace,Urban,0,1,3,2,3,5,4,4,5,3,2,2,3,3,3,3,3,2.477565423928831,0,0,Savannah
Less than 1 year,5,Individual house zone,Rural,1,3,1,1,3,5,5,5,5,1,2,1,2,1,1,5,4,3.0,3,3,MaineCoon
1-2 years,1,House in a subdivision,Periurban,1,2,4,4,2,3,4,4,3,4,2,2,2,2,2,3,2,1.8128150928919027,2,2,MaineCoon
2-10 years,1,Apartment with balcony or terrace,Urban,0,3,2,2,2,5,3,4,5,3,3,2,3,2,3,4,4,1.0,0,0,MaineCoon
2-10 years,1,House in a subdivision,Rural,0,2,3,5,3,4,3,3,4,3,2,1,3,3,3,4,2,3.0,0,0,Persian
2-10 years,4,Apartment without balcony,Rural,0,2,1,3,1,2,1,3,3,3,1,1,1,1,1,2,3,3.0,0,0,Sphynx
Less than 1 year,2,House in a subdivision,Rural,0,2,3,4,2,4,4,3,4,2,4,1,1,1,1,3,3,2.8481280954668833,0,0,Siamese
1-2 years,1,Apartment with balcony or terrace,Urban,1,2,1,4,4,4,5,4,3,4,4,2,3,5,3,3,4,2.7049255496889533,0,0,BritishShorthair
2-10 years,1,Individual house zone,Rural,0,2,1,4,3,4,4,3,5,4,1,1,1,1,1,3,2,2.492625104290859,0,0,Persian
2-10 years,1,Individual house zone,Rural,2,1,1,4,4,4,5,4,5,4,2,1,1,2,3,4,3,2.8251326766927973,1,1,NoBreed
1-2 years,1,Individual house zone,Rural,1,2,1,2,2,5,4,4,3,5,3,3,4,4,3,3,4,3.0,1,1,Siamese
Less than 1 year,1,House in a subdivision,Rural,0,1,1,3,3,4,4,4,4,2,1,1,1,3,2,3,4,2.054882614646475,0,0,Ragdoll
2-10 years,2,House in a subdivision,Urban,1,2,5,4,2,3,1,1,3,3,1,1,3,1,1,1,5,3.0,0,0,Ragdoll
2-10 years,1,Apartment with balcony or terrace,Rural,1,1,1,1,2,3,3,3,2,2,3,3,3,3,3,3,3,3.0,0,0,European
2-10 years,2,Apartment with balcony or terrace,Urban,1,2,4,4,3,4,3,3,5,5,3,2,2,2,3,4,3,1.0,0,0,BritishShorthair
1-2 years,2,Individual house zone,Rural,0,2,2,3,1,2,2,1,3,3,3,1,1,2,1,3,3,2.478269953363787,0,0,Ragdoll
2-10 years,1,Apartment with balcony or terrace,Urban,0,2,2,1,3,4,4,4,4,1,2,2,2,1,1,4,3,1.3340088787452378,0,0,Savannah
2-10 years,1,Apartment without balcony,Rural,0,2,3,2,2,4,5,5,4,3,2,1,3,2,2,2,4,2.8343033659547676,0,0,Savannah
2-10 years,3,Individual house zone,Periurban,2,2,4,4,1,4,4,4,4,4,1,1,1,1,2,4,3,3.0,0,1,MaineCoon
2-10 years,2,Apartment with balcony or terrace,Periurban,0,2,1,4,2,4,4,4,4,5,1,1,1,1,1,4,4,1.1011226761227904,0,0,Birman
1-2 years,1,Individual house zone,Periurban,2,2,1,4,3,4,4,4,4,4,2,1,3,2,2,3,4,3.0,1,3,Chartreux
2-10 years,2,Individual house zone,Rural,0,2,1,2,1,4,3,3,4,4,1,1,4,2,4,3,2,2.3893799575583676,0,0,Sphynx
2-10 years,1,House in a subdivision,Rural,1,2,1,5,2,4,3,3,5,4,1,1,1,1,1,5,4,2.0,1,4,BritishShorthair
Less than 1 year,3,Individual house zone,Rural,0,2,1,5,2,4,4,4,5,4,1,1,1,1,1,1,1,2.0,0,0,Birman
2-10 years,2,House in a subdivision,Urban,0,2,3,4,2,4,4,4,4,4,4,1,1,1,3,3,2,1.0,0,0,NoBreed
1-2 years,4,House in a subdivision,Periurban,0,3,3,5,1,3,4,4,3,1,1,1,5,2,1,5,4,2.0635118295900012,0,0,BritishShorthair
2-10 years,5,Apartment without balcony,Urban,1,3,1,5,1,5,5,5,5,4,3,2,2,2,2,4,2,1.0,0,0,Chartreux
2-10 years,2,House in a subdivision,Periurban,0,2,4,4,3,3,4,4,2,4,2,1,1,1,1,3,1,2.2809540948157547,0,0,MaineCoon
2-10 years,2,Individual house zone,Rural,1,2,1,4,1,4,4,4,4,2,4,1,1,1,1,2,4,2.6208056844220913,0,0,BritishShorthair
2-10 years,3,Apartment with balcony or terrace,Rural,0,2,4,4,4,5,5,4,4,4,2,1,4,3,3,4,1,2.06841051168101,0,0,TurkishAngora
2-10 years,4,Apartment without balcony,Periurban,0,2,1,1,1,4,4,3,4,3,1,4,4,4,4,3,2,1.4993338349786183,0,0,Savannah
1-2 years,2,Apartment without balcony,Urban,2,2,1,3,1,5,5,3,4,5,1,1,1,1,1,3,1,2.3542362404447745,0,0,Siamese
2-10 years,1,House in a subdivision,Periurban,0,2,4,4,3,4,4,4,4,3,4,2,2,2,2,3,3,2.0,0,0,MaineCoon
2-10 years,1,Individual house zone,Rural,0,2,4,1,1,4,4,4,4,1,1,4,3,3,4,2,3,3.0,1,0,Savannah
2-10 years,1,Apartment without balcony,Urban,0,3,1,4,1,4,4,2,5,5,1,1,4,1,1,4,5,2.0,0,1,European
1-2 years,1,House in a subdivision,Rural,0,1,1,4,3,5,5,4,3,5,4,1,2,3,2,2,2,3.0,0,0,Persian
Less than 1 year,1,Apartment with balcony or terrace,Urban,2,2,5,2,3,5,5,3,5,2,5,1,2,3,2,4,3,2.0,0,0,NoBreed
1-2 years,1,Apartment without balcony,Rural,0,2,4,4,4,4,4,4,4,2,1,3,3,4,3,3,3,2.0,0,0,Bengal
2-10 years,2,House in a subdivision,Urban,1,2,1,3,2,4,3,3,4,4,2,3,2,2,3,3,3,3.0,0,0,TurkishAngora
Less than 1 year,1,Apartment with balcony or terrace,Urban,0,3,2,2,3,4,3,4,4,3,3,2,2,3,4,4,4,1.685403443190589,0,0,Ragdoll
1-2 years,1,Individual house zone,Periurban,1,2,4,5,1,5,4,4,5,3,1,1,1,1,1,3,2,2.1516748797327514,0,0,Birman
1-2 years,2,Apartment with balcony or terrace,Rural,2,2,2,4,1,5,5,5,5,3,2,1,4,1,1,4,4,1.0,0,2,Bengal
2-10 years,1,Apartment with balcony or terrace,Urban,1,2,1,1,1,4,4,4,4,3,1,1,4,4,1,1,1,1.6106070582911465,0,0,Bengal
Less than 1 year,1,Apartment without balcony,Rural,0,1,1,2,2,3,4,2,3,4,1,1,2,3,4,4,4,2.0249328370548576,0,0,NoBreed
Less than 1 year,1,Individual house zone,Periurban,2,3,3,2,1,5,5,5,4,2,4,2,3,1,3,4,4,2.0,2,2,European
1-2 years,5,House in a subdivision,Periurban,0,2,1,3,3,3,3,3,3,3,1,1,1,1,1,2,2,3.0,0,0,Ragdoll
2-10 years,1,Apartment with balcony or terrace,Urban,2,2,1,2,3,3,3,3,3,2,1,1,1,1,1,3,2,2.1904700242315585,1,0,Siamese
2-10 years,1,Apartment with balcony or terrace,Rural,0,2,1,1,2,3,3,5,4,5,1,2,2,2,3,4,2,2.0,0,0,Birman
2-10 years,1,Apartment with balcony or terrace,Urban,0,2,3,4,2,4,5,4,4,3,3,1,3,1,2,3,2,2.0,0,0,Chartreux
1-2 years,4,Individual house zone,Periurban,0,2,1,2,1,5,3,5,5,5,2,3,3,2,4,3,4,3.0,0,0,Sphynx
2-10 years,2,House in a subdivision,Urban,1,2,2,4,2,5,4,3,5,4,1,1,3,2,3,3,3,2.9966368370739054,0,0,MaineCoon
1-2 years,3,House in a subdivision,Periurban,0,2,1,3,2,4,4,5,4,4,2,1,1,1,1,3,1,1.9540510272587224,0,0,Birman
2-10 years,1,Apartment without balcony,Rural,0,3,3,2,3,5,5,4,5,3,2,1,2,3,2,2,3,2.7319580675856345,0,0,Savannah
2-10 years,1,Apartment with balcony or terrace,Urban,0,2,4,3,3,4,4,3,4,3,2,2,4,1,4,4,2,1.0485214403340088,0,0,Chartreux
Less than 1 year,2,Apartment with balcony or terrace,Rural,1,2,1,4,2,5,4,5,5,4,3,1,3,1,2,3,2,1.470182592696665,0,0,Chartreux
2-10 years,2,Apartment with balcony or terrace,Urban,1,2,1,4,2,4,4,4,4,4,1,1,1,1,1,4,1,1.0,0,0,Bengal
1-2 years,1,Individual house zone,Rural,0,2,2,2,1,2,2,1,2,2,2,1,1,1,1,2,2,2.2204862090701756,0,0,Persian
Less than 1 year,1,Apartment with balcony or terrace,Urban,0,2,2,4,3,5,4,4,4,4,2,1,2,3,2,4,3,2.0,0,0,Persian
2-10 years,4,Individual house zone,Periurban,0,2,1,1,1,5,4,4,5,5,1,3,3,1,1,3,2,1.1368186309189614,0,0,Bengal
1-2 years,1,Apartment without balcony,Rural,1,2,1,4,1,5,2,5,5,4,1,2,2,1,4,4,4,2.0,0,0,Bengal
1-2 years,1,House in a subdivision,Periurban,0,2,2,4,3,4,4,4,4,1,2,1,2,2,2,3,3,2.7638834668825956,0,0,BritishShorthair
2-10 years,1,House in a subdivision,Rural,0,2,3,2,3,4,3,4,4,4,2,1,1,1,1,3,3,3.0,0,0,Birman
2-10 years,2,House in a subdivision,Rural,2,2,1,4,1,4,4,4,4,4,2,1,4,2,3,1,2,3.0,4,4,Chartreux
1-2 years,1,House in a subdivision,Rural,0,2,3,3,3,3,3,3,3,2,2,2,2,3,3,2,3,2.0,0,0,MaineCoon
2-10 years,2,Apartment with balcony or terrace,Rural,0,2,5,5,3,5,5,5,5,3,4,1,1,1,3,4,4,2.0,0,0,European
2-10 years,1,House in a subdivision,Rural,2,2,1,4,2,5,5,4,5,4,2,2,2,3,1,4,1,3.0,1,0,BritishShorthair
1-2 years,4,House in a subdivision,Urban,0,3,2,3,1,4,5,5,5,5,1,1,5,4,3,4,3,2.9078186529846404,0,0,Ragdoll
1-2 years,4,Apartment without balcony,Urban,0,2,1,1,1,5,4,5,3,3,1,3,3,1,5,3,3,2.167865822042258,0,0,Bengal
2-10 years,1,Individual house zone,Rural,0,2,1,4,2,5,4,4,3,4,2,1,3,2,1,4,2,2.0,1,0,Sphynx
Less than 1 year,1,Apartment with balcony or terrace,Rural,1,1,3,4,3,5,4,4,5,3,2,2,2,3,2,3,3,1.0,0,0,BritishShorthair
2-10 years,1,House in a subdivision,Rural,0,2,2,3,1,4,4,3,5,4,3,2,2,1,3,4,3,3.0,0,0,Chartreux
2-10 years,3,Individual house zone,Rural,0,3,4,4,2,5,5,4,5,3,3,1,1,1,1,2,1,3.0,1,1,NoBreed
1-2 years,1,House in a subdivision,Periurban,0,2,3,4,3,5,5,5,5,4,1,1,1,1,1,4,1,2.9499611839502253,0,0,MaineCoon
1-2 years,2,Apartment with balcony or terrace,Periurban,1,1,1,4,1,4,4,3,5,5,2,1,1,1,1,3,2,2.0,0,0,NoBreed
1-2 years,1,Apartment with balcony or terrace,Urban,1,2,3,1,3,4,4,3,4,2,1,2,3,4,4,1,4,1.986998076489264,0,0,Bengal
2-10 years,2,Individual house zone,Periurban,2,1,3,5,4,4,4,4,3,2,1,1,2,3,1,2,4,3.0,2,2,Chartreux
2-10 years,1,Individual house zone,Periurban,2,2,5,4,4,3,4,5,5,1,1,1,1,2,1,1,2,3.0,3,4,European
2-10 years,3,House in a subdivision,Periurban,2,2,1,4,1,5,5,5,5,4,1,2,5,3,3,2,2,2.0,3,3,European
Less than 1 year,1,Apartment with balcony or terrace,Urban,2,2,2,4,1,5,4,4,4,4,2,1,3,1,2,2,4,2.0,0,0,Siamese
1-2 years,1,Apartment with balcony or terrace,Urban,0,2,3,2,1,4,5,4,4,3,2,2,2,2,3,3,3,2.0,0,0,Savannah
2-10 years,1,Apartment without balcony,Urban,0,2,1,4,2,4,5,4,3,3,4,1,3,3,3,4,4,2.0,0,0,Chartreux
Less than 1 year,1,Apartment with balcony or terrace,Urban,0,3,3,2,3,5,3,5,4,3,3,2,2,3,4,4,5,2.0,0,0,Ragdoll
2-10 years,2,Apartment without balcony,Rural,0,2,1,3,1,5,4,5,5,5,3,1,2,1,3,3,3,2.405223362623064,1,2,TurkishAngora
